Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
5.740000000000003988e-01,1.808216785108719904e+01,2.605261159343980637e+01,-2.642848906330378934e-07,0.000000000000000000e+00
5.750000000000003997e-01,1.810822392087879962e+01,2.606773403422146629e+01,-5.382073182362718586e-07,0.000000000000000000e+00
5.760000000000004006e-01,1.813429506099872768e+01,2.608262676298444660e+01,-7.171454357676827387e-07,0.000000000000000000e+00
5.770000000000004015e-01,1.816038104167095213e+01,2.609728949812756582e+01,-6.934272747750762749e-07,0.000000000000000000e+00
5.780000000000004023e-01,1.818648163283819486e+01,2.611172195957846043e+01,-6.383597286427794482e-07,0.000000000000000000e+00
5.790000000000004032e-01,1.821259660416345483e+01,2.612592386881338768e+01,-6.500940600703646982e-07,0.000000000000000000e+00
5.800000000000004041e-01,1.823872572503155354e+01,2.613989494887409037e+01,-9.642293690395387963e-07,0.000000000000000000e+00
5.810000000000004050e-01,1.826486876455071240e+01,2.615363492437699833e+01,-1.182813685318841533e-06,0.000000000000000000e+00
5.820000000000004059e-01,1.829102549155413016e+01,2.616714352150864187e+01,-1.171908392586269520e-06,0.000000000000000000e+00
5.830000000000004068e-01,1.831719567460153897e+01,2.618042046808074019e+01,-9.984980199823000472e-07,0.000000000000000000e+00
5.840000000000004077e-01,1.834337908198087064e+01,2.619346549351442022e+01,-8.999515520396882319e-07,0.000000000000000000e+00
5.850000000000004086e-01,1.836957548170981980e+01,2.620627832884356323e+01,-8.615178573068091073e-07,0.000000000000000000e+00
5.860000000000004095e-01,1.839578464153749593e+01,2.621885870674537955e+01,-9.599861403889116134e-07,0.000000000000000000e+00
5.870000000000004103e-01,1.842200632894605761e+01,2.623120636155955054e+01,-1.307424374995132080e-06,0.000000000000000000e+00
5.880000000000004112e-01,1.844824031115238228e+01,2.624332102928367760e+01,-1.081610102254544155e-06,0.000000000000000000e+00
5.890000000000004121e-01,1.847448635510971471e+01,2.625520244759138677e+01,-9.780500343792308555e-07,0.000000000000000000e+00
5.900000000000004130e-01,1.850074422750935810e+01,2.626685035585310501e+01,-1.053435664330138221e-06,0.000000000000000000e+00
5.910000000000004139e-01,1.852701369478237936e+01,2.627826449515969642e+01,-1.344767512236376103e-06,0.000000000000000000e+00
5.920000000000004148e-01,1.855329452302731852e+01,2.628944169639367345e+01,-1.026963506426112251e-06,0.000000000000000000e+00
5.930000000000004157e-01,1.857958647400282715e+01,2.630037883254449227e+01,-1.302561560629694596e-06,0.000000000000000000e+00
5.940000000000004166e-01,1.860588930759985260e+01,2.631107571056842076e+01,-1.134788328888931785e-06,0.000000000000000000e+00
5.950000000000004174e-01,1.863220278351675319e+01,2.632153213941057146e+01,-1.098210213835668958e-06,0.000000000000000000e+00
5.960000000000004183e-01,1.865852666126128767e+01,2.633174793006667258e+01,-1.126112748682630608e-06,0.000000000000000000e+00
5.970000000000004192e-01,1.868486070015267231e+01,2.634172289559242586e+01,-9.921314429999871067e-07,0.000000000000000000e+00
5.980000000000004201e-01,1.871120465932365562e+01,2.635145685111216451e+01,-9.319539610398298178e-07,0.000000000000000000e+00
5.990000000000004210e-01,1.873755829772257187e+01,2.636094961383287583e+01,-9.908734602007887193e-07,0.000000000000000000e+00
6.000000000000004219e-01,1.876392137411543715e+01,2.637020100306627413e+01,-8.266349168014224232e-07,0.000000000000000000e+00
6.010000000000004228e-01,1.879029364703768934e+01,2.637920881667066197e+01,-8.256144835635025405e-07,0.000000000000000000e+00
6.020000000000004237e-01,1.881667487200825661e+01,2.638797086656255431e+01,-6.635725912401826318e-07,0.000000000000000000e+00
6.030000000000004245e-01,1.884306480322722166e+01,2.639648699427664624e+01,-6.142072365408718011e-07,0.000000000000000000e+00
6.040000000000004254e-01,1.886946319473684142e+01,2.640475704417472613e+01,-4.409987382034722095e-07,0.000000000000000000e+00
6.050000000000004263e-01,1.889586980042437148e+01,2.641278086345982601e+01,-1.481339124843108803e-07,0.000000000000000000e+00
6.060000000000004272e-01,1.892228437402491892e+01,2.642055830220411750e+01,9.242218021836583147e-08,0.000000000000000000e+00
6.070000000000004281e-01,1.894870666912431645e+01,2.642808921339891270e+01,1.466028945547970433e-07,0.000000000000000000e+00
6.080000000000004290e-01,1.897513643916205339e+01,2.643537345296988406e+01,6.454884354027030799e-08,0.000000000000000000e+00
6.090000000000004299e-01,1.900157343743420668e+01,2.644241087982186400e+01,-1.705025296885986773e-09,0.000000000000000000e+00
6.100000000000004308e-01,1.902801741709645000e+01,2.644920135588007426e+01,-8.903162642188226185e-08,0.000000000000000000e+00
6.110000000000004317e-01,1.905446813116706650e+01,2.645574474611793292e+01,3.932333672238950999e-08,0.000000000000000000e+00
6.120000000000004325e-01,1.908092533252999701e+01,2.646204091857265794e+01,-1.663424293108902242e-07,0.000000000000000000e+00
6.130000000000004334e-01,1.910738877393792734e+01,2.646808974438039641e+01,-4.573579941059503119e-07,0.000000000000000000e+00
6.140000000000004343e-01,1.913385820801537562e+01,2.647389109783421546e+01,-6.202657218581658957e-07,0.000000000000000000e+00
6.150000000000004352e-01,1.916033338726188973e+01,2.647944485644065438e+01,-4.305406171009294854e-07,0.000000000000000000e+00
6.160000000000004361e-01,1.918681406405524470e+01,2.648475090093520379e+01,-6.547482554781600310e-07,0.000000000000000000e+00
6.170000000000004370e-01,1.921329999065468286e+01,2.648980911532076732e+01,-4.974647847816691604e-07,0.000000000000000000e+00
6.180000000000004379e-01,1.923979091920420004e+01,2.649461938689977103e+01,-7.337601897712483516e-07,0.000000000000000000e+00
6.190000000000004388e-01,1.926628660173584962e+01,2.649918160631928643e+01,-6.637143988078011582e-07,0.000000000000000000e+00
